Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Methanococcoides burtonii DSM 6247,BGC0000854.3,0.41,0.59,1023,other (other),ectoine,Methylomicrobium alcaliphilum 20Z,Polar marine ice,antiSMASH
Polaribacter marinivivus,BGC0002309.2,0.41,0.59,1024,terpene,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,Polar,antiSMASH
Tropicibacter alexandrii,BGC0000261.5,0.41,0.59,1025,PKS,R1128,Streptomyces sp. R1128,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000249.5,0.41,0.59,1026,PKS,nogalamycin,Streptomyces nogalater,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000258.3,0.41,0.59,1027,PKS,prodigiosin,Serratia sp.,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002711.2,0.41,0.59,1028,PKS,"nostovalerolactone, 9-dehydronostovalerolactone",Nostoc punctiforme PCC 73102,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000259.3,0.41,0.59,1029,PKS,prodigiosin,Serratia marcescens,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001224.5,0.42,0.58,1030,other (other),reductasporine,uncultured bacterium,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0002285.2,0.42,0.58,1031,ribosomal,aborycin,Streptomyces sp. ZS0098,Coral reef,antiSMASH
Marinobacter nauticus,BGC0002150.2,0.42,0.58,1032,ribosomal,triculamin,Streptomyces triculaminicus,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0002151.2,0.42,0.58,1033,ribosomal,alboverticillin,Streptomyces griseocarneus,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0002306.2,0.42,0.58,1034,ribosomal,freyrasin,Paenibacillus polymyxa ATCC 842,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000778.3,0.42,0.58,1035,saccharide,lipopolysaccharide,Aeromonas piscicola,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000595.3,0.42,0.58,1036,ribosomal,SCO-2138,Streptomyces coelicolor A3(2),Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000597.4,0.42,0.58,1037,ribosomal,SWA-2138,Streptomyces sp. e14,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000906.3,0.42,0.58,1038,other (other),heme D1,Heliophilum fasciatum,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000927.3,0.42,0.58,1039,other (flavin),roseoflavin,Streptomyces davaonensis JCM 4913,Seawater layers,antiSMASH
Shewanella piezotolerans WP28,BGC0002306.2,0.42,0.58,1040,ribosomal,freyrasin,Paenibacillus polymyxa ATCC 842,Deep sea ,antiSMASH
Shewanella piezotolerans WP67,BGC0001872.3,0.42,0.58,1041,PKS,fabclavine-polyamine,Xenorhabdus bovienii SS-2004,Deep sea ,antiSMASH
Shewanella piezotolerans WP78,BGC0000527.5,0.42,0.58,1042,ribosomal,mersacidin,Bacillus sp. HIL-Y85/54728,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002245.2,0.42,0.58,1043,terpene,"terpestacin, preterpestacin 3, preterpestacin 2, preterpestacin 1",Bipolaris maydis C5,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002213.3,0.42,0.58,1044,PKS,HEx-pks16 polyketide,Punctularia strigosozonata HHB-11173 SS5,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000898.5,0.42,0.58,1045,saccharide,"desosamine, pikromycin, neomethymycin, narbomycin",Streptomyces venezuelae,Coral Reef,antiSMASH
Rubritalea marina DSM 17769,BGC0000898.5,0.42,0.58,1046,saccharide,"desosamine, pikromycin, neomethymycin, narbomycin",Streptomyces venezuelae,Coral reef,antiSMASH
Rubritalea marina DSM 17770,BGC0000772.5,0.42,0.58,1047,saccharide,lipopolysaccharide,Brucella melitensis,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001249.5,0.42,0.58,1048,NRPS,dimethylcoprogen,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001305.4,0.42,0.58,1049,PKS,"fujikurin A, fujikurin B, fujikurin C, fujikurin D",Fusarium fujikuroi IMI 58289,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001475.4,0.42,0.58,1050,terpene,aspterric acid,Aspergillus terreus NIH2624,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001266.3,0.42,0.58,1051,PKS,grayanic acid,Cladonia grayi,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002253.3,0.42,0.58,1052,PKS,"waikikiamide A, waikikiamide B, waikikiamide C, (+)-semivioxanthin, semivioxanthin",Aspergillus sp. FM242,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001278.4,0.42,0.58,1053,terpene,T-2 toxin,Fusarium sporotrichioides,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000631.5,0.42,0.58,1054,terpene,"Botrydial, 8,9-epibotrydial, 1-epibotrydial, Dihydrobotrydial, 10-Oxo-dihydrobotrydial, 10-dehydroxy dihydrobotrydialone, 10-epi-dihydrobotrydial, Botryendial, Botryenalol, Botrydienal, Norbotrydialone acetate, 10-Oxodihydrobotry-1(9),4(5)-diendial, 10-Oxodehydrodihydrobotrydial, Dehydrobotrydienol, 11-Hydroxydehydrobotrydienol, 12-hydroxydehydrobotrydienol, Secobotrytriendiol, Secobotrytriene-10,12,15-triol, Secobotrydiene-3,10,15-triol, Secobotrydiene-3,4,10,15-tetraol, 4β-Acetoxytetrahydrobotryslactone",Botrytis cinerea B05.10,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001775.3,0.42,0.58,1055,terpene,sespendole,Cordana terrestris,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001197.5,0.42,0.58,1056,PKS,frankiamicin,Frankia sp. EAN1pec,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001306.3,0.42,0.58,1057,ribosomal,asperipin 2a,Aspergillus flavus NRRL3357,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002151.2,0.42,0.58,1058,ribosomal,alboverticillin,Streptomyces griseocarneus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002150.2,0.42,0.58,1059,ribosomal,triculamin,Streptomyces triculaminicus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000003.3,0.42,0.58,1060,PKS,AF-toxin,Alternaria alternata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000631.5,0.42,0.58,1061,terpene,"Botrydial, 8,9-epibotrydial, 1-epibotrydial, Dihydrobotrydial, 10-Oxo-dihydrobotrydial, 10-dehydroxy dihydrobotrydialone, 10-epi-dihydrobotrydial, Botryendial, Botryenalol, Botrydienal, Norbotrydialone acetate, 10-Oxodihydrobotry-1(9),4(5)-diendial, 10-Oxodehydrodihydrobotrydial, Dehydrobotrydienol, 11-Hydroxydehydrobotrydienol, 12-hydroxydehydrobotrydienol, Secobotrytriendiol, Secobotrytriene-10,12,15-triol, Secobotrydiene-3,10,15-triol, Secobotrydiene-3,4,10,15-tetraol, 4β-Acetoxytetrahydrobotryslactone",Botrytis cinerea B05.10,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002557.2,0.42,0.58,1062,terpene,penifulvin A,Penicillium griseofulvum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001909.3,0.42,0.58,1063,PKS,strobilurin A,Strobilurus tenacellus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000930.4,0.42,0.58,1064,terpene,"nivalenol, 4-acetylnivalenol",Fusarium graminearum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001659.3,0.42,0.58,1065,terpene,mangicol A,Fusarium equiseti,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002610.3,0.42,0.58,1066,terpene,stellatic acid,Aspergillus stellatus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002320.3,0.42,0.58,1067,terpene,conidiogenone,Penicillium rubens Wisconsin 54-1255,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001118.5,0.42,0.58,1068,PKS,endocrocin,Aspergillus fumigatus Af293,Mangrove sediment,antiSMASH
Salinispora tropica CNB-461,BGC0000885.3,0.42,0.58,1069,other (other),4-hydroxy-3-nitrosobenzamide,Streptomyces murayamaensis,Marine Sponge,antiSMASH
Salinispora tropica CNB-462,BGC0000846.5,0.42,0.58,1070,other (other),tabtoxin,Pseudomonas syringae,Marine Sponge,antiSMASH
Salinispora tropica CNB-507,BGC0000468.5,0.42,0.58,1071,ribosomal,bottromycin A2,Streptomyces bottropensis DSM40262,Marine Sponge,antiSMASH
Salinispora tropica CNB-508,BGC0001157.6,0.42,0.58,1072,ribosomal,bottromycin A2,Streptomyces scabiei 87.22,Marine Sponge,antiSMASH
Salinispora tropica CNB-509,BGC0000470.6,0.42,0.58,1073,ribosomal,bottromycin D,Streptomyces sp. WMMB272,Marine Sponge,antiSMASH
Salinispora tropica CNB-512,BGC0001197.5,0.42,0.58,1074,PKS,frankiamicin,Frankia sp. EAN1pec,Marine Sponge,antiSMASH
Salinispora tropica CNB-561,BGC0001249.5,0.42,0.58,1075,NRPS,dimethylcoprogen,Alternaria alternata,Marine Sponge,antiSMASH
Salinispora tropica CNB-616,BGC0002554.2,0.42,0.58,1076,other (other),"carquinostatin A, carquinostatin B",Streptomyces exfoliatus,Marine Sponge,antiSMASH
Salinispora tropica CNB-620,BGC0001249.5,0.42,0.58,1077,NRPS,dimethylcoprogen,Alternaria alternata,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0000656.5,0.42,0.58,1078,terpene,zeaxanthin,Xanthobacter autotrophicus Py2,Open ocean (photic zone),antiSMASH
Psychrobacter arcticus 273-21,BGC0000623.3,0.42,0.58,1079,ribosomal,"plantaricin W α, plantaricin W β",Lactobacillus plantarum,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-22,BGC0001226.4,0.42,0.58,1080,ribosomal,streptocollin,Streptomyces collinus Tu 365,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-23,BGC0000558.5,0.42,0.58,1081,ribosomal,sublancin 168,Bacillus subtilis subsp. subtilis str. 168,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-26,BGC0000866.5,0.42,0.58,1082,other (other),polyhydroxyalkanoate,Burkholderia sp. DSM 9242,Polar Marine Ice,antiSMASH
Halorubrum lacusprofundi ATCC 49283,BGC0000677.5,0.42,0.58,1083,terpene,cyclooctatin,Streptomyces melanosporofaciens,Antarctic hypersaline,antiSMASH
Geobacillus kaustophilus,BGC0000285.5,0.42,0.58,1084,"PKS, saccharide","flaviolin, flaviolin rhamnoside, 3,3'-diflaviolin",Saccharopolyspora erythraea,Deep ocean thermophile,antiSMASH
Cladosporium halotolerans,BGC0002348.2,0.42,0.58,1085,NRPS,aspulvinone E,Aspergillus terreus NIH2624,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002557.2,0.42,0.58,1086,terpene,penifulvin A,Penicillium griseofulvum,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000857.3,0.42,0.58,1087,other (other),ectoine,Methylophaga alcalica,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002382.3,0.42,0.58,1088,ribosomal,grimoviridin,Grimontia marina,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002402.2,0.42,0.58,1089,terpene,"Yossoside I, Yossoside II, Yossoside III, Yossoside IV, Yossoside V",Spinacia oleracea,Coastal sea water,antiSMASH
Marivita sp. LZ-15-33,BGC0000558.5,0.42,0.58,1090,ribosomal,sublancin 168,Bacillus subtilis subsp. subtilis str. 168,Marine water,antiSMASH
Marivita sp. LZ-15-46,BGC0000558.5,0.42,0.58,1091,ribosomal,sublancin 168,Bacillus subtilis subsp. subtilis str. 168,Marine water,antiSMASH
Marivita sp. LZ-15-47,BGC0002306.2,0.42,0.58,1092,ribosomal,freyrasin,Paenibacillus polymyxa ATCC 842,Marine water,antiSMASH
Marivita sp. LZ-15-78,BGC0000261.5,0.42,0.58,1093,PKS,R1128,Streptomyces sp. R1128,Marine water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000637.3,0.42,0.58,1094,terpene,carotenoid,Corynebacterium glutamicum,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000633.3,0.42,0.58,1095,terpene,carotenoid,Streptomyces avermitilis,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0001227.3,0.42,0.58,1096,terpene,isorenieratene,Streptomyces collinus Tu 365,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0002284.3,0.42,0.58,1097,other (other),"corynecin III, corynecin I, corynecin II",Rhodococcus sp. H-CA8f,Marine solar saltern,antiSMASH
Pyrococcus furiosus DSM 3647,BGC0002485.2,0.42,0.58,1098,"other (other), ribosomal","muscoride A, muscoride B",Desmonostoc sp. PCC 7906,Marine sediment,antiSMASH
Pyrococcus furiosus DSM 3648,BGC0002551.2,0.42,0.58,1099,"other (other), ribosomal, terpene","muscoride A, muscoride B",Nostoc sp. UHCC-0398,Marine sediment,antiSMASH
Tropicibacter alexandrii,BGC0000255.5,0.42,0.58,1100,PKS,pederin,Uncultured bacterium,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000282.3,0.42,0.58,1101,PKS,"2-methoxy-5-methyl-6-(13-methyltetradecyl)-1,4-benzoquinone, 2-methoxy-5-methyl-6-(13-methyltetradecyl)phenol",Streptomyces griseus subsp. griseus NBRC 13350,Marine Dinoflagellate,antiSMASH
Marinobacter nauticus,BGC0000571.3,0.43,0.57,1102,ribosomal,burhizin,Paraburkholderia rhizoxinica HKI 454,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0001440.5,0.43,0.57,1103,other (other),"cystargolide A, cystargolide B",Kitasatospora cystarginea,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000854.3,0.43,0.57,1104,other (other),ectoine,Methylomicrobium alcaliphilum 20Z,Seawater layers,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002518.3,0.43,0.57,1105,NRPS,"syringafactin A, syringafactin C",Pseudomonas sp. SZ57,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002290.2,0.43,0.57,1106,other (other),"biscognienyne B, eutypinic acid, compound 3, 4-hydroxy-3-prenylbenzoic acid, prenylhydroquinone, compound 15, compound 8, compound 7, compound 6, compound 11, compound 12, pestalodiol E",Biscogniauxia sp.,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001317.3,0.43,0.57,1107,terpene,lupeol,Lotus japonicus,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000802.5,0.43,0.57,1108,saccharide,succinoglycan,Sinorhizobium meliloti,Arctic Ocean,antiSMASH
Penicillium citrinum ,BGC0002205.2,0.43,0.57,1109,"NRPS, PKS","phomacin D, phomacin E",Parastagonospora nodorum SN15,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002035.3,0.43,0.57,1110,"NRPS, PKS","ilicicolin H, ilicicolin J, 8-epi-ilicicolin H",Neonectria sp. DH2,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002610.3,0.43,0.57,1111,terpene,stellatic acid,Aspergillus stellatus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002301.2,0.43,0.57,1112,PKS,(P)-ustilaginoidin A,Aschersonia paraphysata,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002239.2,0.43,0.57,1113,"NRPS, PKS","GKK1032 A2, pyrrocidine A, pyrrocidine B",Acremonium sp.,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001277.4,0.43,0.57,1114,terpene,"15-acetyldeoxynivalenol, 3-decalonectrin",Fusarium graminearum,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001317.3,0.43,0.57,1115,terpene,lupeol,Lotus japonicus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000234.5,0.43,0.57,1116,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002207.2,0.43,0.57,1117,other (other),psilocybin,Psilocybe cyanescens,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001679.3,0.43,0.57,1118,NRPS,N-Acetyltryptophan,Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002445.3,0.43,0.57,1119,terpene,"armillyl orsellinate, 8α-hydroxy-6-protoilludene",Armillaria gallica,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001627.4,0.43,0.57,1120,NRPS,isonitrile lipopeptides,Mycobacterium tuberculosis H37Rv,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000673.3,0.43,0.57,1121,terpene,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,Mangrove sediment,antiSMASH
Salinispora tropica CNB-484,BGC0002584.2,0.43,0.57,1122,ribosomal,"azolemycin B, azolemycin A, azolemycin D, azolemycin C",Streptomyces sp. FXJ1.264,Marine Sponge,antiSMASH
Salinispora tropica CNB-594,BGC0000677.5,0.43,0.57,1123,terpene,cyclooctatin,Streptomyces melanosporofaciens,Marine Sponge,antiSMASH
Salinispora tropica CNB-613,BGC0001896.4,0.43,0.57,1124,other (other),carbazomycin B,Streptomyces luteoverticillatus,Marine Sponge,antiSMASH
Salinispora tropica CNB-614,BGC0001485.4,0.43,0.57,1125,other (other),chuangxinmycin,Actinoplanes tsinanensis,Marine Sponge,antiSMASH
Salinispora tropica CNB-615,BGC0001206.5,0.43,0.57,1126,other (other),indolmycin,Streptomyces griseus subsp. griseus,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0002162.3,0.43,0.57,1127,terpene,"sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8",Aspergillus fischeri NRRL 181,Open ocean (photic zone),antiSMASH
Alteromonas macleodii,BGC0001634.3,0.43,0.57,1128,ribosomal,keywimysin,Streptomyces sp. NRRL F-5702,Deep sea sediment,antiSMASH
Alteromonas macleodii,BGC0002015.4,0.43,0.57,1129,ribosomal,aborycin,Streptomyces sp. ZS0098,Deep sea sediment,antiSMASH
Alteromonas macleodii,BGC0002307.3,0.43,0.57,1130,ribosomal,humidimycin,Streptomyces humidus,Deep sea sediment,antiSMASH
Alteromonas macleodii,BGC0001655.3,0.43,0.57,1131,ribosomal,LP2006,Nocardiopsis alba DSM 43377,Deep sea sediment,antiSMASH
Alteromonas macleodii,BGC0000575.5,0.43,0.57,1132,ribosomal,lariatin,Rhodococcus jostii,Deep sea sediment,antiSMASH
Psychrobacter arcticus 273-9,BGC0002493.3,0.43,0.57,1133,NRPS,parabactin,Paracoccus denitrificans PD1222,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-10,BGC0000207.5,0.43,0.57,1134,PKS,chartreusin,Streptomyces chartreusis,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-11,BGC0001778.5,0.43,0.57,1135,other (other),showdomycin,Streptomyces showdoensis,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-12,BGC0000706.3,0.43,0.57,1136,saccharide,kanamycin,Streptomyces kanamyceticus,Polar Marine Ice,antiSMASH
Psychrobacter arcticus 273-25,BGC0002400.2,0.43,0.57,1137,terpene,boleracene,Brassica oleracea var. oleracea,Polar Marine Ice,antiSMASH
Halorubrum lacusprofundi ATCC 49259,BGC0002584.2,0.43,0.57,1138,ribosomal,"azolemycin B, azolemycin A, azolemycin D, azolemycin C",Streptomyces sp. FXJ1.264,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49282,BGC0001528.4,0.43,0.57,1139,terpene,"betaestacin I, betaestacin II",Phoma betae,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0001390.3,0.43,0.57,1140,"NRPS, PKS",LL-Z1272beta,Stachybotrys bisbyi,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002216.3,0.43,0.57,1141,terpene,HEx-tc1 terpene,Trichoderma virens Gv29-8,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0001262.3,0.43,0.57,1142,PKS,AK-toxin I,Alternaria alternata,Coastal sea water,antiSMASH
Marivita sp. LZ-15-45,BGC0002400.2,0.43,0.57,1143,terpene,boleracene,Brassica oleracea var. oleracea,Marine water,antiSMASH
Marivita sp. LZ-15-76,BGC0000131.5,0.43,0.57,1144,PKS,pyrrolomycin,Streptomyces sp. UC 11065,Marine water,antiSMASH
Marivita sp. LZ-15-77,BGC0000234.5,0.43,0.57,1145,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Marine water,antiSMASH
Marivita sp. LZ-15-90,BGC0000763.5,0.43,0.57,1146,saccharide,stewartan,Pantoea stewartii subsp. stewartii DC283,Marine water,antiSMASH
Marivita sp. LZ-15-91,BGC0000868.5,0.43,0.57,1147,other (other),teichuronic acid,Bacillus subtilis subsp. subtilis str. 168,Marine water,antiSMASH
Marivita sp. LZ-15-92,BGC0000803.3,0.43,0.57,1148,saccharide,GG exopolysaccharide,Lactobacillus rhamnosus GG,Marine water,antiSMASH
Haloarchaeobius amylolyticus,BGC0001456.3,0.43,0.57,1149,terpene,isorenieratene,Streptomyces argillaceus,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000664.5,0.43,0.57,1150,terpene,isorenieratene,Streptomyces griseus subsp. griseus NBRC 13350,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000706.3,0.43,0.57,1151,saccharide,kanamycin,Streptomyces kanamyceticus,Marine solar saltern,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002610.3,0.43,0.57,1152,terpene,stellatic acid,Aspergillus stellatus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002400.2,0.43,0.57,1153,terpene,boleracene,Brassica oleracea var. oleracea,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0002162.3,0.43,0.57,1154,terpene,"sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8",Aspergillus fischeri NRRL 181,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000633.3,0.43,0.57,1155,terpene,carotenoid,Streptomyces avermitilis,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001227.3,0.43,0.57,1156,terpene,isorenieratene,Streptomyces collinus Tu 365,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001456.3,0.43,0.57,1157,terpene,isorenieratene,Streptomyces argillaceus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001535.3,0.43,0.57,1158,other (other),branched-chain fatty acids,Streptomyces filamentosus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001534.3,0.43,0.57,1159,other (other),branched-chain fatty acids,Streptomyces filamentosus,Hypersaline lake,antiSMASH
Methanococcoides burtonii DSM 6246,BGC0002400.2,0.43,0.57,1160,terpene,boleracene,Brassica oleracea var. oleracea,Polar marine ice,antiSMASH
Methanococcoides burtonii DSM 6254,BGC0001802.5,0.43,0.57,1161,ribosomal,"thioholgamide A, thioholgamide B",Streptomyces malaysiense,Polar marine ice,antiSMASH
Methanococcoides burtonii DSM 6255,BGC0001696.5,0.43,0.57,1162,ribosomal,neothioviridamide,Streptomyces sp.,Polar marine ice,antiSMASH
Tropicibacter alexandrii,BGC0000234.5,0.43,0.57,1163,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000343.5,0.43,0.57,1164,NRPS,enterobactin,Pseudomonas sp. J465,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0002400.2,0.43,0.57,1165,terpene,boleracene,Brassica oleracea var. oleracea,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000343.5,0.43,0.57,1166,NRPS,enterobactin,Pseudomonas sp. J465,Marine Dinoflagellate,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000285.5,0.44,0.56,1167,"PKS, saccharide","flaviolin, flaviolin rhamnoside, 3,3'-diflaviolin",Saccharopolyspora erythraea,Coral reef,antiSMASH
Marinobacter nauticus,BGC0000234.5,0.44,0.56,1168,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0001778.5,0.44,0.56,1169,other (other),showdomycin,Streptomyces showdoensis,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000261.5,0.44,0.56,1170,PKS,R1128,Streptomyces sp. R1128,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000916.5,0.44,0.56,1171,other (other),molybdenum cofactor,Staphylococcus carnosus,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000917.3,0.44,0.56,1172,other (other),molybdenum cofactor,Rhodobacter capsulatus,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0002400.2,0.44,0.56,1173,terpene,boleracene,Brassica oleracea var. oleracea,Seawater layers,antiSMASH
Shewanella piezotolerans WP12,BGC0002633.2,0.44,0.56,1174,other (other),schizokinen,Leptolyngbya sp. PCC 7376,Deep sea ,antiSMASH
Shewanella piezotolerans WP38,BGC0002115.3,0.44,0.56,1175,ribosomal,streptamidine,Streptomyces albidoflavus J1074,Deep sea ,antiSMASH
Shewanella piezotolerans WP50,BGC0001778.5,0.44,0.56,1176,other (other),showdomycin,Streptomyces showdoensis,Deep sea ,antiSMASH
Shewanella piezotolerans WP51,BGC0001137.5,0.44,0.56,1177,other (other),"marinacarboline A, marinacarboline B, marinacarboline C, marinacarboline D",Marinactinospora thermotolerans,Deep sea ,antiSMASH
Shewanella piezotolerans WP52,BGC0000234.5,0.44,0.56,1178,PKS,jadomycin,Streptomyces venezuelae ATCC 10712,Deep sea ,antiSMASH
Shewanella piezotolerans WP66,BGC0001268.4,0.44,0.56,1179,"NRPS, PKS",fusarin C,Fusarium fujikuroi,Deep sea ,antiSMASH
Shewanella piezotolerans WP71,BGC0002400.2,0.44,0.56,1180,terpene,boleracene,Brassica oleracea var. oleracea,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001267.3,0.44,0.56,1181,terpene,"elymoclavine, Agroclavine I",Claviceps fusiformis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000231.5,0.44,0.56,1182,PKS,"griseusin A, griseusin B",Streptomyces griseus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002610.3,0.44,0.56,1183,terpene,stellatic acid,Aspergillus stellatus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002736.2,0.44,0.56,1184,terpene,preaspterpenacid I,Aspergillus terreus NIH2624,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002320.3,0.44,0.56,1185,terpene,conidiogenone,Penicillium rubens Wisconsin 54-1255,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002162.3,0.44,0.56,1186,terpene,"sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8",Aspergillus fischeri NRRL 181,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002216.3,0.44,0.56,1187,terpene,HEx-tc1 terpene,Trichoderma virens Gv29-8,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001659.3,0.44,0.56,1188,terpene,mangicol A,Fusarium equiseti,Coral Reef,antiSMASH
